Tran_Id	Cust_Id	Acct_Nbr	Channel_Nbr	Merchant_SIC	Session_Id	Tran_Duration	Tran_Date	Tran_Time	Tran_Amt	Principal_Amt	Interest_Amt	New_Balance	Merchant_Name	Merchant_City	Merchant_State	Merchant_Postal_Code	Tran_Code	Channel
61	1362508	4561143213625084	0	700	3860	23	9/11/1995	055751	172.61	172.61	0.00	952.57	Mary's Market       	St Louis            	MO	63181	CG	E
122	1362683	4561143213626834	0	1100	42178	29	12/1/1995	201339	24.76	24.76	0.00	4711.29	Linda's Lighting    	Los Angeles         	CA	90189	CG	E
61	1362510	4561143213625094	0	200	4635	38	4/19/1995	103018	94.85	94.85	0.00	1779.98	Buy The Book        	Houston             	TX	77059	CG	E
122	1362777	4561143213627774	20	?	65135	54	11/24/1995	082433	0.00	0.00	0.00	1185.21	?	?	?	?	IQ	B
61	1362525	4561143213625254	0	?	7467	0	8/3/1995	?	196.61	190.47	6.14	747.58	?	?	?	?	PM	M
122	1363002	4561143213630024	0	1000	112786	20	10/13/1995	154412	273.51	273.51	0.00	3952.40	Gilligan's Island   	New York City       	NY	10039	CG	E
61	1362535	4561143213625354	1	?	10394	36	10/24/1995	203306	0.00	0.00	0.00	0.00	?	?	?	?	IQ	V
101	1362591	4561143213625914	0	1000	23368	36	12/9/1995	022143	51.64	51.64	0.00	1155.22	Tim's Trout Fishing 	Cleveland           	OH	44173	CG	E
61	1362546	4561143213625464	0	100	12114	41	9/28/1995	125734	19.44	19.44	0.00	762.17	Zorba's Hideaway    	New York City       	NY	10021	CG	E
101	1362683	4561143213626834	0	700	42268	29	10/8/1995	033654	144.29	144.29	0.00	2024.19	Soupy's Supermarket 	Los Angeles         	CA	90058	CG	E
61	1362549	4561143213625494	0	?	13024	0	11/2/1995	?	813.47	802.61	10.86	197.39	?	?	?	?	PM	M
101	1362777	4561143213627774	0	1100	65157	38	10/25/1995	001626	174.74	174.74	0.00	1099.56	Linda's Lighting    	Los Angeles         	CA	90055	CG	E
61	1362574	4561143213625744	0	1200	18633	43	11/4/1995	141008	243.49	243.49	0.00	1172.69	Limitless Clothing  	New York City       	NY	10105	CG	E
101	1362816	4561143213628164	0	500	73116	41	12/13/1995	112535	245.58	245.58	0.00	2431.23	Wing-and-Prayer Air 	Louisville          	KY	40223	CG	E
61	1362587	4561143213625874	0	800	21770	34	10/7/1995	200454	57.81	57.81	0.00	877.58	Manic Motor Inn     	Oklahoma City       	OK	73103	CG	E
101	1362888	4561143213628884	0	400	87439	42	12/10/1995	102347	328.96	328.96	0.00	3786.05	Serbio's Service St 	Portland            	OR	97295	CG	E
61	1362591	4561143213625914	0	100	23357	35	8/2/1995	150726	227.70	227.70	0.00	2465.41	Fifi's Cabaret      	Cleveland           	OH	44188	CG	E
101	1362978	4561143213629784	0	700	104456	30	11/25/1995	225557	53.74	53.74	0.00	1926.84	Gary's Grocery      	Arlington           	TX	76003	CG	E
61	1362593	4561143213625934	0	1200	24480	36	11/16/1995	143820	162.89	162.89	0.00	2628.38	April-May Dept Store	New York City       	NY	10207	CG	E
101	1363003	4561143213630024	0	700	112685	25	8/27/1995	235941	39.02	39.02	0.00	5823.69	Soupy's Supermarket 	New York City       	NY	10126	CG	E
61	1362602	4561143213626024	0	300	26623	34	12/16/1995	101008	91.28	91.28	0.00	917.69	Rent-a-Wreck        	Los Angeles         	CA	90053	CG	E
101	1363236	4561143213632364	0	500	159288	32	11/30/1995	144531	43.75	43.75	0.00	2247.09	Puddle Jump Airline 	Los Angeles         	CA	90091	CG	E
61	1362607	4561143213626074	0	1100	27942	21	12/22/1995	235636	77.10	77.10	0.00	807.37	Brad's Bricks       	Seattle             	WA	98101	CG	E
141	1362683	4561143213626834	0	800	42242	32	12/30/1995	102509	327.18	327.18	0.00	5359.08	Flea Trap Motel     	Los Angeles         	CA	90059	CG	E
61	1362633	4561143213626334	0	?	33364	0	12/1/1995	?	544.81	534.31	10.50	465.69	?	?	?	?	PM	M
141	1363002	4561143213630024	0	1200	112703	21	11/29/1995	111737	323.30	323.30	0.00	5708.38	April-May Dept Store	New York City       	NY	10177	CG	E
61	1362640	4561143213626404	0	?	34706	0	12/6/1995	?	453.87	452.16	1.71	181.99	?	?	?	?	PM	M
120	1362683	4561143213626834	0	700	42175	18	11/29/1995	001549	86.98	86.98	0.00	4466.93	Soupy's Supermarket 	Los Angeles         	CA	90096	CG	E
61	1362649	4561143213626494	0	300	36223	29	8/19/1995	152939	21.15	21.15	0.00	509.90	Rent-a-Wreck        	New York City       	NY	10069	CG	E
120	1362777	4561143213627774	0	500	65117	35	11/20/1995	064347	99.71	99.71	0.00	1096.46	Wing-and-Prayer Air 	Los Angeles         	CA	90121	CG	E
61	1362744	4561143213627444	139	?	56264	18	10/10/1995	142220	0.00	0.00	0.00	55.21	?	?	?	?	IQ	K
120	1363002	4561143213630024	0	300	112758	15	10/8/1995	013445	301.35	301.35	0.00	3498.89	Acme Car Rental     	New York City       	NY	10121	CG	E
61	1362746	4561143213627464	0	200	57351	27	12/16/1995	183527	200.35	200.35	0.00	616.83	Carrie's Cards      	New Orleans         	LA	70173	CG	E
120	1363250	4561143213632494	1	?	162963	39	11/29/1995	023244	0.00	0.00	0.00	3082.42	?	?	?	?	IQ	C
61	1362772	4561143213627714	0	100	63135	15	10/17/1995	002424	254.88	254.88	0.00	797.15	Lisa's Pasta Bar    	Chicago             	IL	60605	CG	E
99	1362591	4561143213625914	0	?	23453	0	12/2/1995	?	405.92	403.64	2.28	958.48	?	?	?	?	PM	M
61	1362777	4561143213627774	0	200	65056	32	8/1/1995	130834	71.99	71.99	0.00	1477.00	Jerry's Jewelry     	Los Angeles         	CA	90025	CG	E
99	1362683	4561143213626834	0	100	42250	17	10/6/1995	183653	220.91	220.91	0.00	1812.56	Flying Burrito Res. 	Los Angeles         	CA	90106	CG	E
61	1362806	4561143213628064	0	1300	69084	19	11/23/1995	150839	74.22	74.22	0.00	1675.51	Terry's Trucks      	Chicago             	IL	60651	CG	E
99	1362777	4561143213627774	0	400	65180	26	10/16/1995	192855	162.08	162.08	0.00	767.04	Ollie's Oil Co.     	Los Angeles         	CA	90192	CG	E
61	1362811	4561143213628114	0	1200	70865	42	12/8/1995	154237	63.98	63.98	0.00	639.06	April-May Dept Store	Philadelphia        	PA	19137	CG	E
99	1362816	4561143213628164	0	100	73142	31	12/9/1995	143213	249.49	249.49	0.00	2144.12	Haveacow Steakhouse 	Louisville          	KY	40273	CG	E
61	1362816	4561143213628164	0	200	73136	34	8/8/1995	201100	73.10	73.10	0.00	2226.10	Dilbert's Dept Store	Louisville          	KY	40223	CG	E
99	1362888	4561143213628884	0	?	87474	0	12/4/1995	?	485.16	473.94	11.22	2994.41	?	?	?	?	PM	M
61	1362839	4561143213628394	0	200	79552	23	8/9/1995	224539	430.12	430.12	0.00	2115.74	Jerry's Jewelry     	Baltimore           	MD	21286	CG	E
99	1362978	4561143213629784	0	200	104447	20	11/24/1995	115136	295.09	295.09	0.00	1673.24	Carrie's Cards      	Los Angeles         	CA	90123	CG	E
61	1362849	4561143213628494	0	1300	81639	34	11/11/1995	202255	98.11	98.11	0.00	98.11	Terry's Trucks      	Nashville           	TN	37204	CG	E
99	1363003	4561143213630024	0	700	112734	29	8/27/1995	143654	274.37	274.37	0.00	5275.39	Ferd's Food Store   	New York City       	NY	10119	CG	E
61	1362858	4561143213628584	0	100	83655	44	9/3/1995	162238	493.89	493.89	0.00	493.89	Lisa's Pasta Bar    	Los Angeles         	CA	90064	CG	E
17	1362481	4561143213624804	0	1200	6	15	6/11/1995	141450	221.12	221.12	0.00	2500.00	April-May Dept Store	Tucson              	AZ	85741	CG	E
61	1362872	4561143213628724	0	100	85074	31	11/12/1995	221623	73.06	73.06	0.00	1000.00	The Big Squid       	Los Angeles         	CA	90117	CG	E
17	1362484	4561143213624844	0	100	796	39	5/26/1995	112301	14.56	14.56	0.00	374.68	Sushi To Go         	Denver              	CO	80262	CG	E
61	1362881	4561143213628814	0	1000	86234	44	11/1/1995	130104	47.43	47.43	0.00	730.64	Tim's Trout Fishing 	Phoenix             	AZ	85046	CG	E
17	1362485	4561143213624854	0	1100	1245	35	4/24/1995	155507	65.03	65.03	0.00	895.80	Linda's Lighting    	New York City       	NY	10211	CG	E
61	1362888	4561143213628884	0	200	87452	31	7/13/1995	222418	43.44	43.44	0.00	4447.48	Llama World         	Portland            	OR	97293	CG	E
17	1362487	4561143213624874	0	?	2009	0	11/5/1995	?	505.41	499.88	5.53	594.93	?	?	?	?	PM	M
61	1362902	4561143213629024	0	1000	89863	16	11/28/1995	060548	56.79	56.79	0.00	56.79	Tim's Trout Fishing 	New York City       	NY	10268	CG	E
17	1362489	4561143213624894	0	100	2237	37	3/9/1995	220009	55.37	55.37	0.00	2800.00	Carol's Café        	Birmingham          	AL	35260	CG	E
61	1362928	4561143213629284	0	400	93713	37	9/28/1995	153031	67.09	67.09	0.00	587.57	Serbio's Service St 	New York City       	NY	10239	CG	E
